Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
25,Male,White,65000,720,15000,1
34,Female,Asian,82000,750,25000,1
45,Male,Black,45000,610,10000,0
23,Female,White,35000,680,5000,1
31,Male,Hispanic,52000,640,12000,0
52,Female,Black,95000,740,30000,1
29,Male,White,71000,710,18000,1
38,Female,Asian,110000,800,45000,1
41,Male,Black,48000,590,8000,0
26,Female,Hispanic,42000,660,10000,0
35,Male,White,68000,730,20000,1
48,Female,White,55000,690,14000,1
55,Male,Asian,125000,810,50000,1
22,Female,Black,32000,600,4000,0
32,Male,Hispanic,58000,670,15000,1
44,Female,White,78000,760,28000,1
27,Male,White,62000,700,13000,1
37,Female,Asian,89000,780,26000,1
50,Male,Black,51000,620,11000,0
30,Female,Hispanic,46000,650,9000,0
24,Male,White,59000,690,12000,1
33,Female,White,67000,720,19000,1
46,Male,Asian,105000,790,40000,1
28,Female,Black,38000,630,7000,0
36,Male,Hispanic,61000,680,16000,1
49,Female,White,85000,770,30000,1
54,Male,White,92000,800,35000,1
21,Female,Asian,41000,670,11000,1
39,Male,Black,44000,610,9500,0
42,Female,Hispanic,53000,660,14000,0
25,Male,White,64000,715,14500,1
34,Female,Asian,81000,745,24500,1
45,Male,Black,46000,615,10500,0
23,Female,White,36000,685,5500,1
31,Male,Hispanic,53000,645,12500,0
52,Female,Black,96000,745,30500,1
29,Male,White,72000,715,18500,1
38,Female,Asian,111000,805,45500,1
41,Male,Black,49000,595,8500,0
26,Female,Hispanic,43000,665,10500,0
35,Male,White,69000,735,20500,1
48,Female,White,56000,695,14500,1
55,Male,Asian,126000,815,50500,1
22,Female,Black,33000,605,4500,0
32,Male,Hispanic,59000,675,15500,1
44,Female,White,79000,765,28500,1
27,Male,White,63000,705,13500,1
37,Female,Asian,90000,785,26500,1
50,Male,Black,52000,625,11500,0
30,Female,Hispanic,47000,655,9500,0
24,Male,White,60000,695,12500,1
33,Female,White,68000,725,19500,1
46,Male,Asian,106000,795,40500,1
28,Female,Black,39000,635,7500,0
36,Male,Hispanic,62000,685,16500,1
49,Female,White,86000,775,30500,1
54,Male,White,93000,805,35500,1
21,Female,Asian,42000,675,11500,1
39,Male,Black,45000,615,10000,0
42,Female,Hispanic,54000,665,14500,0
